"Date","Price","Open","High","Low","Change %"
"Feb 12, 2019","0.8830","0.8864","0.8884","0.8817","-0.44%"
"Feb 11, 2019","0.8869","0.8829","0.8875","0.8825","0.44%"
"Feb 10, 2019","0.8831","0.8826","0.8838","0.8823","0.05%"
"Feb 08, 2019","0.8826","0.8819","0.8836","0.8808","0.15%"
"Feb 07, 2019","0.8813","0.8802","0.8833","0.8791","0.14%"
"Feb 06, 2019","0.8801","0.8768","0.8804","0.8758","0.46%"
"Feb 05, 2019","0.8761","0.8742","0.8773","0.8731","0.22%"
"Feb 04, 2019","0.8742","0.8731","0.8758","0.8723","0.15%"
"Feb 03, 2019","0.8729","0.8730","0.8737","0.8722","-0.02%"
"Feb 01, 2019","0.8730","0.8737","0.8748","0.8703","-0.07%"
"Jan 31, 2019","0.8736","0.8710","0.8746","0.8682","0.28%"
"Jan 30, 2019","0.8712","0.8747","0.8768","0.8692","-0.41%"
"Jan 29, 2019","0.8748","0.8749","0.8764","0.8732","-0.03%"
"Jan 28, 2019","0.8751","0.8767","0.8781","0.8737","-0.12%"
"Jan 27, 2019","0.8762","0.8770","0.8772","0.8762","-0.06%"
"Jan 25, 2019","0.8767","0.8848","0.8852","0.8756","-0.88%"
"Jan 24, 2019","0.8845","0.8786","0.8858","0.8773","0.66%"
"Jan 23, 2019","0.8787","0.8801","0.8811","0.8773","-0.18%"
"Jan 22, 2019","0.8803","0.8798","0.8821","0.8780","0.06%"
"Jan 21, 2019","0.8798","0.8796","0.8808","0.8766","0.00%"
"Jan 20, 2019","0.8798","0.8795","0.8802","0.8766","-0.02%"
"Jan 18, 2019","0.8800","0.8773","0.8810","0.8762","0.27%"
"Jan 17, 2019","0.8776","0.8776","0.8796","0.8764","0.05%"
"Jan 16, 2019","0.8772","0.8760","0.8792","0.8752","0.13%"
"Jan 15, 2019","0.8761","0.8718","0.8788","0.8701","0.55%"
"Jan 14, 2019","0.8713","0.8720","0.8742","0.8709","-0.14%"
"Jan 13, 2019","0.8726","0.8719","0.8742","0.8716","0.06%"
"Jan 11, 2019","0.8720","0.8697","0.8730","0.8665","0.28%"
"Jan 10, 2019","0.8696","0.8663","0.8709","0.8643","0.37%"
"Jan 09, 2019","0.8664","0.8740","0.8745","0.8654","-0.87%"
"Jan 08, 2019","0.8740","0.8714","0.8757","0.8707","0.30%"
"Jan 07, 2019","0.8714","0.8778","0.8778","0.8708","-0.56%"
"Jan 06, 2019","0.8763","0.8777","0.8778","0.8762","-0.14%"
"Jan 04, 2019","0.8776","0.8778","0.8814","0.8756","-0.01%"
"Jan 03, 2019","0.8777","0.8815","0.8843","0.8762","-0.43%"
"Jan 02, 2019","0.8815","0.8722","0.8831","0.8698","1.07%"
"Jan 01, 2019","0.8722","0.8721","0.8753","0.8660","0.05%"
"Dec 31, 2018","0.8718","0.8739","0.8756","0.8718","-0.23%"
"Dec 30, 2018","0.8738","0.8742","0.8745","0.8730","-0.01%"
"Dec 28, 2018","0.8739","0.8748","0.8755","0.8712","-0.11%"
"Dec 27, 2018","0.8749","0.8809","0.8811","0.8730","-0.68%"
"Dec 26, 2018","0.8809","0.8801","0.8817","0.8754","0.09%"
"Dec 25, 2018","0.8801","0.8772","0.8802","0.8749","0.33%"
"Dec 24, 2018","0.8772","0.8794","0.8809","0.8741","-0.24%"
"Dec 23, 2018","0.8794","0.8795","0.8809","0.8789","0.01%"
"Dec 21, 2018","0.8793","0.8737","0.8808","0.8714","0.64%"
"Dec 20, 2018","0.8737","0.8790","0.8796","0.8706","-0.60%"
"Dec 19, 2018","0.8790","0.8801","0.8803","0.8740","-0.12%"
"Dec 18, 2018","0.8801","0.8811","0.8821","0.8769","-0.12%"
"Dec 17, 2018","0.8812","0.8844","0.8851","0.8804","-0.38%"
"Dec 16, 2018","0.8845","0.8848","0.8848","0.8843","0.04%"
"Dec 14, 2018","0.8842","0.8801","0.8874","0.8792","0.48%"
"Dec 13, 2018","0.8800","0.8796","0.8827","0.8776","0.03%"
"Dec 12, 2018","0.8797","0.8835","0.8840","0.8780","-0.44%"
"Dec 11, 2018","0.8836","0.8805","0.8846","0.8771","0.34%"
"Dec 10, 2018","0.8806","0.8770","0.8812","0.8739","0.39%"
"Dec 09, 2018","0.8772","0.8778","0.8778","0.8766","-0.19%"
"Dec 07, 2018","0.8789","0.8790","0.8804","0.8753","-0.02%"
"Dec 06, 2018","0.8791","0.8815","0.8833","0.8761","-0.26%"
"Dec 05, 2018","0.8814","0.8817","0.8841","0.8800","0.00%"
"Dec 04, 2018","0.8814","0.8807","0.8836","0.8755","0.07%"
"Dec 03, 2018","0.8808","0.8840","0.8840","0.8788","-0.10%"
"Dec 02, 2018","0.8816","0.8809","0.8827","0.8809","-0.23%"
"Nov 30, 2018","0.8837","0.8778","0.8848","0.8771","0.67%"
"Nov 29, 2018","0.8778","0.8799","0.8812","0.8770","-0.23%"
"Nov 28, 2018","0.8798","0.8855","0.8875","0.8780","-0.69%"
"Nov 27, 2018","0.8859","0.8827","0.8868","0.8814","0.35%"
"Nov 26, 2018","0.8828","0.8818","0.8832","0.8784","0.08%"
"Nov 25, 2018","0.8821","0.8818","0.8824","0.8817","0.04%"
"Nov 23, 2018","0.8817","0.8769","0.8829","0.8755","0.58%"
"Nov 22, 2018","0.8766","0.8784","0.8787","0.8744","-0.19%"
"Nov 21, 2018","0.8783","0.8794","0.8801","0.8751","-0.13%"
"Nov 20, 2018","0.8794","0.8731","0.8804","0.8716","0.72%"
"Nov 19, 2018","0.8731","0.8767","0.8779","0.8721","-0.35%"
"Nov 18, 2018","0.8762","0.8761","0.8767","0.8755","0.06%"
"Nov 16, 2018","0.8757","0.8828","0.8834","0.8756","-0.80%"
"Nov 15, 2018","0.8828","0.8842","0.8873","0.8801","-0.15%"
"Nov 14, 2018","0.8841","0.8858","0.8881","0.8812","-0.18%"
"Nov 13, 2018","0.8857","0.8914","0.8917","0.8851","-0.64%"
"Nov 12, 2018","0.8914","0.8826","0.8917","0.8822","0.94%"
"Nov 11, 2018","0.8831","0.8833","0.8839","0.8827","0.12%"
"Nov 09, 2018","0.8821","0.8800","0.8837","0.8796","0.24%"
"Nov 08, 2018","0.8800","0.8750","0.8809","0.8734","0.55%"
"Nov 07, 2018","0.8752","0.8752","0.8777","0.8696","0.01%"
"Nov 06, 2018","0.8751","0.8768","0.8780","0.8741","-0.18%"
"Nov 05, 2018","0.8767","0.8779","0.8806","0.8752","-0.08%"
"Nov 04, 2018","0.8774","0.8782","0.8782","0.8772","-0.08%"
"Nov 02, 2018","0.8781","0.8766","0.8794","0.8730","0.18%"
"Nov 01, 2018","0.8765","0.8841","0.8845","0.8752","-0.86%"
"Oct 31, 2018","0.8841","0.8815","0.8849","0.8801","0.31%"
"Oct 30, 2018","0.8814","0.8791","0.8819","0.8780","0.24%"
"Oct 29, 2018","0.8793","0.8767","0.8801","0.8758","0.23%"
"Oct 28, 2018","0.8773","0.8777","0.8777","0.8768","0.05%"
"Oct 26, 2018","0.8768","0.8790","0.8821","0.8754","-0.26%"
"Oct 25, 2018","0.8791","0.8778","0.8807","0.8746","0.15%"
"Oct 24, 2018","0.8778","0.8717","0.8788","0.8713","0.70%"
"Oct 23, 2018","0.8717","0.8722","0.8743","0.8700","-0.06%"
"Oct 22, 2018","0.8722","0.8690","0.8730","0.8659","0.38%"
"Oct 21, 2018","0.8689","0.8683","0.8689","0.8683","0.04%"
"Oct 19, 2018","0.8685","0.8732","0.8748","0.8669","-0.53%"
"Oct 18, 2018","0.8731","0.8693","0.8734","0.8675","0.43%"
"Oct 17, 2018","0.8694","0.8640","0.8700","0.8631","0.63%"
"Oct 16, 2018","0.8640","0.8635","0.8647","0.8603","0.03%"
"Oct 15, 2018","0.8637","0.8651","0.8669","0.8617","-0.24%"
"Oct 14, 2018","0.8658","0.8665","0.8666","0.8655","0.10%"
"Oct 12, 2018","0.8649","0.8626","0.8669","0.8611","0.28%"
"Oct 11, 2018","0.8625","0.8680","0.8682","0.8620","-0.63%"
"Oct 10, 2018","0.8680","0.8702","0.8712","0.8661","-0.26%"
"Oct 09, 2018","0.8703","0.8703","0.8748","0.8692","0.02%"
"Oct 08, 2018","0.8701","0.8680","0.8728","0.8669","0.26%"
"Oct 07, 2018","0.8679","0.8678","0.8681","0.8675","0.01%"
"Oct 05, 2018","0.8678","0.8683","0.8708","0.8658","-0.08%"
"Oct 04, 2018","0.8685","0.8711","0.8723","0.8663","-0.31%"
"Oct 03, 2018","0.8712","0.8659","0.8723","0.8626","0.61%"
"Oct 02, 2018","0.8659","0.8638","0.8692","0.8635","0.24%"
"Oct 01, 2018","0.8638","0.8617","0.8649","0.8600","0.25%"
"Sep 30, 2018","0.8617","0.8607","0.8618","0.8607","0.03%"
"Sep 28, 2018","0.8614","0.8590","0.8644","0.8582","0.28%"
"Sep 27, 2018","0.8590","0.8517","0.8593","0.8505","0.85%"
"Sep 26, 2018","0.8518","0.8498","0.8528","0.8475","0.27%"
"Sep 25, 2018","0.8495","0.8511","0.8525","0.8478","-0.20%"
"Sep 24, 2018","0.8512","0.8511","0.8531","0.8464","0.01%"
"Sep 23, 2018","0.8511","0.8514","0.8518","0.8510","0.01%"
"Sep 21, 2018","0.8510","0.8490","0.8524","0.8470","0.22%"
"Sep 20, 2018","0.8491","0.8568","0.8571","0.8486","-0.89%"
"Sep 19, 2018","0.8567","0.8571","0.8584","0.8535","-0.04%"
"Sep 18, 2018","0.8570","0.8558","0.8583","0.8528","0.13%"
"Sep 17, 2018","0.8559","0.8601","0.8607","0.8546","-0.48%"
"Sep 16, 2018","0.8600","0.8602","0.8604","0.8596","0.03%"
"Sep 14, 2018","0.8598","0.8555","0.8609","0.8532","0.50%"
"Sep 13, 2018","0.8555","0.8600","0.8616","0.8546","-0.53%"
"Sep 12, 2018","0.8601","0.8619","0.8643","0.8583","-0.17%"
"Sep 11, 2018","0.8616","0.8626","0.8648","0.8589","-0.12%"
"Sep 10, 2018","0.8626","0.8652","0.8677","0.8609","-0.28%"
"Sep 09, 2018","0.8650","0.8659","0.8659","0.8650","-0.07%"
"Sep 07, 2018","0.8656","0.8602","0.8659","0.8583","0.59%"
"Sep 06, 2018","0.8605","0.8599","0.8617","0.8577","0.07%"
"Sep 05, 2018","0.8599","0.8633","0.8663","0.8590","-0.41%"
"Sep 04, 2018","0.8634","0.8602","0.8673","0.8599","0.36%"
"Sep 03, 2018","0.8603","0.8624","0.8632","0.8599","-0.22%"
"Sep 02, 2018","0.8622","0.8623","0.8626","0.8618","0.03%"
"Aug 31, 2018","0.8619","0.8569","0.8633","0.8555","0.58%"
"Aug 30, 2018","0.8569","0.8540","0.8590","0.8532","0.33%"
"Aug 29, 2018","0.8541","0.8551","0.8582","0.8539","-0.11%"
"Aug 28, 2018","0.8550","0.8563","0.8576","0.8522","-0.15%"
"Aug 27, 2018","0.8563","0.8599","0.8626","0.8551","-0.26%"
"Aug 26, 2018","0.8585","0.8608","0.8608","0.8581","-0.23%"
"Aug 24, 2018","0.8605","0.8667","0.8670","0.8591","-0.70%"
"Aug 23, 2018","0.8666","0.8622","0.8673","0.8619","0.50%"
"Aug 22, 2018","0.8623","0.8642","0.8657","0.8602","-0.22%"
"Aug 21, 2018","0.8642","0.8710","0.8712","0.8619","-0.78%"
"Aug 20, 2018","0.8710","0.8739","0.8777","0.8706","-0.38%"
"Aug 19, 2018","0.8743","0.8742","0.8745","0.8741","0.00%"
"Aug 17, 2018","0.8743","0.8790","0.8799","0.8736","-0.53%"
"Aug 16, 2018","0.8790","0.8814","0.8822","0.8764","-0.27%"
"Aug 15, 2018","0.8814","0.8815","0.8851","0.8806","-0.01%"
"Aug 14, 2018","0.8815","0.8764","0.8827","0.8749","0.57%"
"Aug 13, 2018","0.8765","0.8781","0.8800","0.8745","-0.14%"
"Aug 12, 2018","0.8777","0.8793","0.8793","0.8763","0.16%"
"Aug 10, 2018","0.8763","0.8675","0.8781","0.8667","1.00%"
"Aug 09, 2018","0.8676","0.8612","0.8677","0.8605","0.74%"
"Aug 08, 2018","0.8612","0.8621","0.8640","0.8599","-0.10%"
"Aug 07, 2018","0.8621","0.8657","0.8661","0.8615","-0.40%"
"Aug 06, 2018","0.8656","0.8639","0.8673","0.8639","0.08%"
"Aug 05, 2018","0.8649","0.8643","0.8650","0.8642","0.05%"
"Aug 03, 2018","0.8645","0.8630","0.8650","0.8611","0.15%"
"Aug 02, 2018","0.8632","0.8577","0.8636","0.8570","0.64%"
"Aug 01, 2018","0.8577","0.8554","0.8579","0.8546","0.27%"
"Jul 31, 2018","0.8554","0.8541","0.8558","0.8512","0.14%"
"Jul 30, 2018","0.8542","0.8578","0.8586","0.8534","-0.40%"
"Jul 29, 2018","0.8577","0.8578","0.8580","0.8575","-0.03%"
"Jul 27, 2018","0.8579","0.8588","0.8606","0.8572","-0.12%"
"Jul 26, 2018","0.8589","0.8525","0.8592","0.8515","0.73%"
"Jul 25, 2018","0.8527","0.8557","0.8573","0.8518","-0.36%"
"Jul 24, 2018","0.8558","0.8552","0.8581","0.8535","0.07%"
"Jul 23, 2018","0.8552","0.8528","0.8560","0.8510","0.41%"
"Jul 22, 2018","0.8517","0.8528","0.8530","0.8514","-0.18%"
"Jul 20, 2018","0.8532","0.8589","0.8602","0.8518","-0.66%"
"Jul 19, 2018","0.8589","0.8592","0.8640","0.8563","-0.03%"
"Jul 18, 2018","0.8592","0.8576","0.8620","0.8572","0.19%"
"Jul 17, 2018","0.8576","0.8539","0.8586","0.8515","0.43%"
"Jul 16, 2018","0.8539","0.8562","0.8566","0.8528","-0.28%"
"Jul 15, 2018","0.8563","0.8554","0.8564","0.8553","0.05%"
"Jul 13, 2018","0.8558","0.8569","0.8611","0.8555","-0.11%"
