"Date","Price","Open","High","Low","Change %"
"May 03, 2019","0.7591","0.7672","0.7699","0.7588","-1.04%"
"May 02, 2019","0.7671","0.7663","0.7682","0.7645","0.10%"
"May 01, 2019","0.7663","0.7672","0.7674","0.7631","-0.12%"
"Apr 30, 2019","0.7672","0.7731","0.7738","0.7663","-0.76%"
"Apr 29, 2019","0.7731","0.7738","0.7750","0.7724","-0.12%"
"Apr 28, 2019","0.7740","0.7736","0.7742","0.7730","-0.01%"
"Apr 26, 2019","0.7741","0.7752","0.7766","0.7725","-0.14%"
"Apr 25, 2019","0.7752","0.7751","0.7773","0.7742","0.01%"
"Apr 24, 2019","0.7751","0.7731","0.7760","0.7713","0.28%"
"Apr 23, 2019","0.7729","0.7701","0.7736","0.7680","0.35%"
"Apr 22, 2019","0.7702","0.7696","0.7709","0.7692","0.07%"
"Apr 21, 2019","0.7696","0.7696","0.7700","0.7692","0.05%"
"Apr 19, 2019","0.7693","0.7693","0.7703","0.7683","0.00%"
"Apr 18, 2019","0.7693","0.7668","0.7705","0.7661","0.37%"
"Apr 17, 2019","0.7665","0.7663","0.7677","0.7652","0.03%"
"Apr 16, 2019","0.7663","0.7632","0.7667","0.7625","0.39%"
"Apr 15, 2019","0.7633","0.7649","0.7654","0.7622","-0.14%"
"Apr 14, 2019","0.7643","0.7648","0.7654","0.7640","0.01%"
"Apr 12, 2019","0.7643","0.7657","0.7663","0.7614","-0.21%"
"Apr 11, 2019","0.7659","0.7638","0.7663","0.7628","0.26%"
"Apr 10, 2019","0.7639","0.7661","0.7668","0.7621","-0.21%"
"Apr 09, 2019","0.7655","0.7654","0.7675","0.7621","0.01%"
"Apr 08, 2019","0.7654","0.7671","0.7681","0.7648","-0.20%"
"Apr 07, 2019","0.7670","0.7671","0.7678","0.7668","-0.01%"
"Apr 05, 2019","0.7670","0.7646","0.7700","0.7619","0.30%"
"Apr 04, 2019","0.7647","0.7599","0.7657","0.7580","0.64%"
"Apr 03, 2019","0.7598","0.7613","0.7621","0.7578","-0.22%"
"Apr 02, 2019","0.7615","0.7632","0.7684","0.7604","-0.24%"
"Apr 01, 2019","0.7633","0.7670","0.7687","0.7604","-0.60%"
"Mar 31, 2019","0.7679","0.7671","0.7682","0.7661","0.08%"
"Mar 29, 2019","0.7673","0.7666","0.7705","0.7612","0.12%"
"Mar 28, 2019","0.7664","0.7583","0.7672","0.7567","1.09%"
